dataset,v1,v2,v3,v4,v5,v6
covid19_1_of_69,GB,ADA,RF,LR,KNN,NB
covid19_2_of_69,GB,ADA,RF,LR,KNN,NB
covid19_3_of_69,GB,ADA,RF,LR,KNN,NB
covid19_4_of_69,GB,ADA,RF,LR,KNN,NB
covid19_5_of_69,GB,ADA,RF,LR,KNN,NB
covid19_6_of_69,GB,ADA,RF,LR,KNN,NB
covid19_7_of_69,GB,ADA,RF,LR,KNN,NB
covid19_8_of_69,GB,ADA,RF,LR,KNN,NB
covid19_9_of_69,GB,ADA,RF,LR,KNN,NB
covid19_10_of_69,GB,ADA,RF,LR,NB,KNN
covid19_11_of_69,GB,RF,ADA,LR,KNN,NB
covid19_12_of_69,GB,ADA,RF,LR,KNN,NB
covid19_13_of_69,GB,ADA,RF,LR,KNN,NB
covid19_14_of_69,GB,ADA,RF,LR,KNN,NB
covid19_15_of_69,GB,ADA,RF,LR,KNN,NB
covid19_16_of_69,GB,ADA,RF,LR,KNN,NB
covid19_17_of_69,GB,ADA,RF,LR,KNN,NB
covid19_18_of_69,GB,ADA,RF,LR,KNN,NB
covid19_19_of_69,GB,ADA,RF,LR,KNN,NB
covid19_20_of_69,GB,ADA,RF,LR,KNN,NB
covid19_21_of_69,GB,ADA,RF,LR,KNN,NB
covid19_22_of_69,GB,ADA,RF,LR,KNN,NB
covid19_23_of_69,GB,ADA,RF,LR,KNN,NB
covid19_24_of_69,GB,ADA,RF,LR,KNN,NB
covid19_25_of_69,GB,ADA,RF,LR,KNN,NB
covid19_26_of_69,GB,ADA,RF,LR,KNN,NB
covid19_27_of_69,GB,ADA,RF,LR,KNN,NB
covid19_28_of_69,GB,ADA,RF,LR,KNN,NB
covid19_29_of_69,GB,ADA,RF,LR,KNN,NB
covid19_30_of_69,GB,ADA,RF,LR,KNN,NB
covid19_31_of_69,GB,ADA,RF,LR,KNN,NB
covid19_32_of_69,GB,ADA,RF,LR,KNN,NB
covid19_33_of_69,GB,ADA,RF,LR,KNN,NB
covid19_34_of_69,GB,ADA,RF,LR,KNN,NB
covid19_35_of_69,GB,ADA,RF,LR,KNN,NB
covid19_36_of_69,GB,ADA,RF,LR,KNN,NB
covid19_37_of_69,GB,ADA,RF,LR,KNN,NB
covid19_38_of_69,GB,ADA,RF,LR,KNN,NB
covid19_39_of_69,GB,ADA,RF,LR,KNN,NB
covid19_40_of_69,GB,ADA,RF,LR,KNN,NB
covid19_41_of_69,GB,ADA,RF,LR,KNN,NB
covid19_42_of_69,GB,RF,ADA,LR,KNN,NB
covid19_43_of_69,GB,ADA,RF,LR,KNN,NB
covid19_44_of_69,GB,ADA,RF,LR,KNN,NB
covid19_45_of_69,GB,ADA,RF,LR,KNN,NB
covid19_46_of_69,GB,ADA,RF,LR,KNN,NB
covid19_47_of_69,GB,ADA,RF,LR,KNN,NB
covid19_48_of_69,GB,ADA,RF,LR,KNN,NB
covid19_49_of_69,GB,ADA,RF,LR,KNN,NB
covid19_50_of_69,GB,ADA,RF,LR,KNN,NB
covid19_51_of_69,GB,ADA,RF,LR,KNN,NB
covid19_52_of_69,GB,ADA,RF,LR,KNN,NB
covid19_53_of_69,GB,ADA,RF,LR,KNN,NB
covid19_54_of_69,GB,ADA,RF,LR,KNN,NB
covid19_55_of_69,GB,ADA,RF,LR,KNN,NB
covid19_56_of_69,GB,ADA,RF,LR,KNN,NB
covid19_57_of_69,GB,ADA,RF,LR,KNN,NB
covid19_58_of_69,GB,ADA,RF,LR,KNN,NB
covid19_59_of_69,GB,ADA,RF,LR,KNN,NB
covid19_60_of_69,GB,ADA,RF,LR,KNN,NB
covid19_61_of_69,GB,ADA,RF,LR,KNN,NB
covid19_62_of_69,GB,ADA,RF,LR,KNN,NB
covid19_63_of_69,GB,ADA,RF,LR,KNN,NB
covid19_64_of_69,GB,ADA,RF,LR,KNN,NB
covid19_65_of_69,GB,ADA,RF,LR,KNN,NB
covid19_66_of_69,GB,ADA,RF,LR,KNN,NB
covid19_67_of_69,GB,ADA,RF,LR,KNN,NB
covid19_68_of_69,GB,RF,ADA,LR,KNN,NB
covid19_69_of_69,GB,ADA,RF,LR,KNN,NB
diabetes_1_of_1,RF,LR,GB,NB,ADA,KNN
symptoms_1_of_1,RF,KNN,GB,LR,NB,ADA
stroke_1_of_1,ADA,LR,RF,GB,KNN,NB
hepatitisC_1_of_1,LR,GB,RF,KNN,NB,ADA
cirrhosis_1_of_1,RF,NB,LR,GB,ADA,KNN
heartDisease_1_of_1,RF,GB,ADA,NB,LR,KNN
heartFailure_1_of_1,RF,GB,LR,ADA,NB,KNN
cardioDisease_1_of_4,GB,ADA,NB,RF,LR,KNN
cardioDisease_2_of_4,GB,ADA,RF,NB,LR,KNN
cardioDisease_3_of_4,GB,ADA,NB,RF,LR,KNN
cardioDisease_4_of_4,GB,ADA,NB,RF,LR,KNN
indianLiver_1_of_1,LR,RF,GB,ADA,KNN,NB
heartCleaveland_1_of_1,NB,LR,RF,ADA,GB,KNN
wisconsin_1_of_1,ADA,RF,LR,GB,NB,KNN
hypothyroid_1_of_1,GB,ADA,RF,LR,KNN,NB
appendicitis_1_of_1,NB,ADA,RF,GB,LR,KNN
framingham_1_of_1,LR,RF,GB,ADA,NB,KNN
lowerback_1_of_1,LR,RF,KNN,GB,ADA,NB
breastCancer_1_of_1,ADA,RF,LR,GB,NB,KNN
heart2020_1_of_21,ADA,LR,NB,GB,RF,KNN
