dataset,KNN,LR,RF,NB,GB,ADA
diabetes_1_of_2,0.7395078605604922,0.7787423103212576,0.7525632262474369,0.760457963089542,0.7446343130553658,0.7421052631578947
diabetes_2_of_2,0.6795625427204375,0.7733766233766234,0.7498974709501025,0.7343472317156527,0.7370813397129187,0.7422761449077239
symptoms_1_of_2,0.9878048780487806,0.8971544715447155,0.9939024390243902,0.8804878048780488,0.991869918699187,0.08943089430894308
symptoms_2_of_2,0.9825203252032519,0.9004065040650406,0.9890243902439024,0.874390243902439,0.990650406504065,0.0910569105691057
stroke_1_of_2,0.9377690802348336,0.9510763209393346,0.9495107632093933,0.861839530332681,0.9459882583170254,0.9471624266144815
stroke_2_of_2,0.9354207436399218,0.9506849315068493,0.949119373776908,0.8700587084148728,0.9479452054794519,0.9471624266144814
hepatitisC_1_of_2,0.9118644067796611,0.9322033898305084,0.9423728813559322,0.9254237288135594,0.9355932203389831,0.9084745762711863
hepatitisC_2_of_2,0.9149620105201637,0.9354763296317943,0.9388077147866746,0.9150204558737581,0.9286382232612507,0.9081239041496201
cirrhosis_1_of_2,0.5,0.7396825396825397,0.783068783068783,0.7468253968253968,0.7251322751322752,0.6661375661375661
cirrhosis_2_of_2,0.6164021164021165,0.6595238095238095,0.7611111111111111,0.716931216931217,0.7687830687830688,0.7248677248677249
heartDisease_1_of_2,0.7123745819397994,0.8344242713807931,0.8845198279980888,0.8540372670807453,0.8801481127568085,0.8453416149068322
heartDisease_2_of_2,0.6688246536072623,0.8518872431915909,0.8627568084089823,0.8519350215002388,0.843191591017678,0.8213807931199236
heartFailure_1_of_2,0.5733333333333333,0.8066666666666666,0.8333333333333334,0.78,0.7933333333333333,0.7933333333333333
heartFailure_2_of_2,0.5432183908045978,0.7921839080459769,0.8388505747126438,0.7845977011494253,0.8388505747126438,0.7581609195402299
indianLiver_1_of_2,0.7052631578947369,0.7333333333333333,0.7228070175438597,0.6842105263157895,0.7263157894736842,0.750877192982456
indianLiver_2_of_2,0.656140350877193,0.6771929824561403,0.6350877192982456,0.5929824561403508,0.6421052631578947,0.6175438596491227
heartCleaveland_1_of_2,0.6593103448275862,0.7956321839080459,0.7820689655172414,0.8091954022988507,0.7554022988505749,0.7480459770114942
heartCleaveland_2_of_2,0.732183908045977,0.8556321839080459,0.8349425287356322,0.8416091954022988,0.7944827586206897,0.8147126436781609
wisconsin_1_of_2,0.9157894736842105,0.9438596491228071,0.9333333333333332,0.9263157894736842,0.9368421052631579,0.9438596491228071
