dataset,v1,v2,v3,v4,v5,v6
diabetes_1_of_2,LR,NB,RF,GB,ADA,KNN
diabetes_2_of_2,LR,RF,ADA,GB,NB,KNN
symptoms_1_of_2,RF,GB,KNN,LR,NB,ADA
symptoms_2_of_2,GB,RF,KNN,LR,NB,ADA
stroke_1_of_2,LR,RF,ADA,GB,KNN,NB
stroke_2_of_2,LR,RF,GB,ADA,KNN,NB
hepatitisC_1_of_2,RF,GB,LR,NB,KNN,ADA
hepatitisC_2_of_2,RF,LR,GB,NB,KNN,ADA
cirrhosis_1_of_2,RF,NB,LR,GB,ADA,KNN
cirrhosis_2_of_2,GB,RF,ADA,NB,LR,KNN
heartDisease_1_of_2,RF,GB,NB,ADA,LR,KNN
heartDisease_2_of_2,RF,NB,LR,GB,ADA,KNN
heartFailure_1_of_2,RF,LR,GB,ADA,NB,KNN
heartFailure_2_of_2,RF,GB,LR,NB,ADA,KNN
indianLiver_1_of_2,ADA,LR,GB,RF,KNN,NB
indianLiver_2_of_2,LR,KNN,GB,RF,ADA,NB
heartCleaveland_1_of_2,NB,LR,RF,GB,ADA,KNN
heartCleaveland_2_of_2,LR,NB,RF,ADA,GB,KNN
wisconsin_1_of_2,LR,ADA,GB,RF,NB,KNN
wisconsin_2_of_2,ADA,NB,RF,GB,LR,KNN
hypothyroid_1_of_2,GB,ADA,RF,LR,KNN,NB
hypothyroid_2_of_2,GB,ADA,RF,LR,KNN,NB
framingham_1_of_2,LR,RF,GB,ADA,NB,KNN
framingham_2_of_2,LR,RF,GB,ADA,NB,KNN
lowerback_1_of_2,RF,GB,ADA,LR,KNN,NB
lowerback_2_of_2,KNN,LR,RF,GB,ADA,NB
breastCancer_1_of_2,LR,ADA,RF,GB,NB,KNN
breastCancer_2_of_2,ADA,RF,NB,GB,LR,KNN
autism_1_of_2,RF,GB,ADA,LR,NB,KNN
autism_2_of_2,RF,GB,ADA,LR,NB,KNN
heartBeat_1_of_2,GB,ADA,KNN,RF,LR,NB
heartBeat_2_of_2,KNN,GB,ADA,RF,LR,NB
stress_1_of_2,LR,NB,RF,GB,KNN,ADA
stress_2_of_2,LR,NB,RF,GB,KNN,ADA
fetalHealth_1_of_2,GB,RF,ADA,LR,KNN,NB
fetalHealth_2_of_2,GB,RF,LR,KNN,ADA,NB
fetalCardio_1_of_2,GB,RF,KNN,ADA,LR,NB
fetalCardio_2_of_2,RF,GB,NB,KNN,ADA,LR
diabetes2019_1_of_2,RF,GB,LR,ADA,NB,KNN
diabetes2019_2_of_2,RF,GB,LR,ADA,NB,KNN
thoracic_1_of_2,RF,LR,KNN,ADA,GB,NB
thoracic_2_of_2,RF,LR,ADA,KNN,GB,NB
cervicalCancer_1_of_2,GB,ADA,LR,RF,KNN,NB
cervicalCancer_2_of_2,GB,LR,RF,ADA,KNN,NB
epilepsy_1_of_2,RF,GB,NB,ADA,KNN,LR
epilepsy_2_of_2,RF,GB,NB,ADA,KNN,LR
